"","OM","EM","Species","Performance.metric","Value"
"370","SSM_Ricker_OM","SS_fixM_AvgF_EM","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0"
"371","SSM_Ricker_OM","SS_fixM_AvgF_EM","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0.75"
"372","SSM_Ricker_OM","SS_fixM_AvgF_EM","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0"
"373","SSM_Ricker_OM","SS_fixM_AvgF_EM","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0"
"374","SSM_Ricker_OM","SS_fixM_AvgF_EM","Cod","OM: Terminal B","  415"
"375","SSM_Ricker_OM","SS_fixM_AvgF_EM","Cod","OM: Terminal SSB","  212"
"376","SSM_Ricker_OM","SS_fixM_AvgF_EM","Cod","OM: Terminal SSB Depletion","0.73"
"377","SSM_Ricker_OM","SS_fixM_AvgF_EM","Cod","OM: Terminal SSB Depletion (Dynamic)","0.46"
"378","SSM_Ricker_OM","SS_fixM_AvgF_EM","Cod","OM: Average SSB Depletion","0.628139679594796"
"379","SSM_Ricker_OM","SS_estM_AvgF_EM","Pollock","Average Catch","  270"
"380","SSM_Ricker_OM","SS_estM_AvgF_EM","Pollock","Catch IAV","0.29"
"381","SSM_Ricker_OM","SS_estM_AvgF_EM","Pollock","P(Closed)","1"
"382","SSM_Ricker_OM","SS_estM_AvgF_EM","Pollock","Avg SSB Relative MSE","0.692658275229791"
"383","SSM_Ricker_OM","SS_estM_AvgF_EM","Pollock","Avg terminal SSB Relative MSE","0.02"
"384","SSM_Ricker_OM","SS_estM_AvgF_EM","Pollock","EM: P(Fy > Flimit)","0"
"385","SSM_Ricker_OM","SS_estM_AvgF_EM","Pollock","EM: P(SSB < SSBlimit)","0"
"386","SSM_Ricker_OM","SS_estM_AvgF_EM","Pollock","OM: P(Fy > Flimit)","0"
"387","SSM_Ricker_OM","SS_estM_AvgF_EM","Pollock","OM: P(SSB < SSBlimit)","0"
"388","SSM_Ricker_OM","SS_estM_AvgF_EM","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0"
"389","SSM_Ricker_OM","SS_estM_AvgF_EM","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0"
